Year;Period;ScreenedBy_H;Sample_ref_long;Sample_ref;Oocyte_stage_H;Hydration_state_H;Egg_stage_H;POF_H;Spent_H;Massive_atr_H;Early_alpha_H;Discard_H;Comment_H;Fecundity_H;Spawn_marker_H;Atresia_H;Embedding_H;Batch_fec_H;POF_analysis_H;Calendar_day;Fish_weight;Length;Fulton_K;GSI;Latitude_N;Longitude_W;Ovary_weight;Samp_approach;Walsh_Mat
2019;6;AZTI;A031eK;A031;4;0;0;1;0;1;1;0;;no;yes;no;no;no;no;;;;;;;;;;
2019;6;IEO;A032eM;A032;4;0;2;1;0;0;0;0;;no;yes;yes;no;no;no;;;;;;;;;;
2019;6;IMR;A033eE;A033;2;0;0;1;1;0;0;0;Lot of beta atresia;no;yes;no;no;no;no;177;382;36,20;0,81;1,44;54,76;10,28;5,50;;5
2019;6;WMR;A034;A034;4;0;0;1;0;0;1;0;;no;yes;yes;yes;no;no;177;391;37,30;0,75;2,17;54,76;10,28;8,50;;5
2019;6;AZTI;A035eK;A035;4;0;0;1;0;0;1;0;;no;yes;yes;yes;no;no;177;301;24,30;2,10;4,02;54,76;10,28;12,10;;2
2019;6;IEO;A036eM;A036;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;177;403;26,60;2,14;1,61;54,76;10,28;6,50;;6
2019;6;IMR;A037eE;A037;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;177;381;34,00;0,97;0,92;54,76;10,28;3,50;;6
2019;6;WMR;A038;A038;1;0;0;1;1;0;0;0;;no;yes;no;no;no;no;177;341;35,00;0,80;0,94;54,76;10,28;3,20;;6
2019;6;AZTI;A039eK;A039;2;0;0;1;1;0;0;0;;no;yes;no;no;no;no;177;316;33,60;0,83;0,66;54,76;10,28;2,10;;6
2019;6;IEO;A040eM;A040;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;177;405;37,10;0,79;1,06;54,76;10,28;4,30;;5
2019;6;IMR;A041eE;A041;1;0;0;0;0;0;0;0;;no;no;no;no;no;no;177;428;37,90;0,79;0,86;54,76;10,28;3,70;;5
2019;6;WMR;A042;A042;3;0;0;1;1;1;0;0;;no;yes;no;no;no;no;177;336;37,50;0,64;1,13;54,76;10,28;3,80;;5
2019;6;AZTI;A043eK;A043;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;177;382;35,80;0,83;1,54;54,76;10,28;5,90;;5
2019;6;IEO;A044eM;A044;5;1;2;1;0;1;1;0;;no;yes;no;no;no;no;177;367;35,50;0,82;1,96;54,76;10,28;7,20;;5
2019;6;IMR;A045eE;A045;3;0;0;0;1;0;1;0;;no;no;no;no;no;no;177;405;37,10;0,79;1,01;54,76;10,28;4,10;;6
2019;6;WMR;A046;A046;1;0;0;1;1;0;0;0;;no;yes;no;no;no;no;177;377;35,50;0,84;1,11;54,76;10,28;4,20;;6
2019;6;AZTI;A047eK;A047;5;3;1;1;0;0;0;0;;no;yes;yes;no;no;no;177;277;35,50;0,62;7,26;54,76;10,28;20,10;;4
2019;6;IEO;A048eM;A048;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;177;303;32,10;0,92;0,56;54,76;10,28;1,70;;6
2019;6;IMR;A049eE;A049;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;177;318;35,00;0,74;3,21;54,76;10,28;10,20;;3
2019;6;WMR;A050;A050;4;0;1;1;0;1;0;0;;no;yes;no;no;no;no;177;375;36,10;0,80;1,49;54,76;10,28;5,60;;5
2019;6;AZTI;A051eK;A051;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;177;267;31,40;0,86;5,84;54,76;10,28;15,60;;3
2019;6;IEO;A052eM;A052;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;177;316;35,20;0,72;3,92;54,76;10,28;12,40;;5
2019;6;IMR;A053eE;A053;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;177;235;30,50;0,83;3,79;54,76;10,28;8,90;;3
2019;6;AZTI;A055eK;A055;;;;;;;;;Bad block. In proccess.;no;no;no;no;no;no;177;343;35,60;0,76;4,34;54,76;10,28;14,90;;3
2019;6;IEO;A056eM;A056;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;177;327;34,00;0,83;1,01;54,76;10,28;3,30;;6
2019;6;IMR;A057eE;A057;5;1;0;1;0;0;0;0;;no;yes;yes;no;no;no;177;377;37,20;0,73;1,49;54,76;10,28;5,60;;5
2019;6;AZTI;A059eK;A059;5;3;1;1;0;0;0;0;;no;yes;yes;no;no;no;177;373;37,00;0,74;1,23;54,76;10,28;4,60;;5
2019;6;IEO;A060eM;A060;5;2;0;1;0;0;0;0;Hydration 2 in the limit with 3.;no;yes;yes;no;no;no;177;353;35,10;0,82;10,51;54,76;10,28;37,10;;4
2019;;WMR;A086;A086;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;;;;;;;;;;
2019;3;IMR;C001eE;C001;2;0;0;0;0;0;0;0;Beta atresia;no;no;no;no;no;no;86;159;30,50;0,56;1,26;56,23;9,03;2,00;;2
2019;3;WMR;C002;C002;3;0;0;0;0;0;0;0;;yes;no;no;no;no;no;86;161;31,50;0,52;1,24;56,23;9,03;2,00;;2
2019;3;AZTI;C003eK;C003;3;0;0;1;0;0;0;0;;no;yes;yes;no;no;yes;88;326;37,00;0,64;5,64;57,75;9,23;18,40;;3
2019;3;IEO;C004eM;C004;4;0;0;0;0;0;0;0;;no;no;no;no;no;no;88;410;38,50;0,72;7,32;57,75;9,23;30,00;;3
2019;3;IMR;C005eE;C005;3;0;0;0;0;0;0;0;;yes;no;no;no;no;no;89;476;42,50;0,62;6,91;58,64;6,81;32,90;;3
2019;3;WMR;C006;C006;3;0;0;0;0;0;0;0;;yes;no;no;no;no;no;90;244;34,00;0,62;2,54;59,22;6,78;6,20;;2
2019;3;AZTI;C007eK;C007;3;0;0;0;0;0;1;0;;yes;no;no;no;no;no;90;245;34,50;0,60;3,18;59,22;6,78;7,80;;2
2019;4;IEO;C008eM;C008;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;yes;107;305;36,00;0,65;9,36;57,72;8,83;28,60;;3
2019;4;IMR;C009eE;C009;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;yes;107;325;36,00;0,70;9,38;57,72;8,83;30,50;;4
2019;4;WMR;C010;C010;4;0;0;0;0;0;0;0;slecht preparaat;no;no;no;no;no;no;107;307;35,00;0,72;3,98;57,72;8,83;12,20;;3
2019;4;AZTI;C011eK;C011;3;0;0;0;0;0;1;0;;yes;no;no;no;no;no;107;243;34,00;0,62;4,45;57,72;8,83;10,80;;2
2019;4;IEO;C012eM;C012;4;0;0;1;0;0;1;0;A lot of alpha atresia (early and late).;no;yes;yes;yes;no;yes;107;264;35,00;0,62;5,80;57,72;8,83;15,30;;4
2019;4;IMR;C013eE;C013;5;3;1;0;0;0;0;0;;no;yes;yes;no;no;no;107;279;33,00;0,78;10,20;57,72;8,83;28,50;;4
2019;4;WMR;C014;C014;3;0;0;0;0;0;0;0;;yes;no;no;no;no;no;107;215;33,00;0,60;5,91;57,72;8,83;12,70;;3
2019;4;AZTI;C015eK;C015;2;0;0;1;0;0;1;0;;no;yes;yes;yes;no;yes;107;290;35,00;0,68;3,07;57,72;8,83;8,90;;2
2019;4;IEO;C016eM;C016;3;0;0;0;0;0;0;0;More advanced oocytes are very early vitellogenic.;yes;no;no;no;no;no;107;289;36,00;0,62;3,15;57,72;8,83;9,10;;2
2019;4;IMR;C017eE;C017;4;0;0;0;0;0;0;0;Lot og beta atresia;no;no;no;no;no;no;107;279;36,00;0,60;4,13;57,72;8,83;11,50;;3
2019;4;WMR;C018;C018;4;3;1;1;0;0;1;0;;no;yes;yes;yes;no;yes;107;357;37,00;0,70;11,50;57,72;8,83;41,00;;4
2019;4;IEO;C020eM;C020;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;yes;107;224;33,00;0,62;7,72;57,72;8,83;17,30;;4
2019;4;IMR;C021eE;C021;5;3;1;1;0;0;0;0;;no;yes;yes;no;no;yes;107;223;33,00;0,62;8,65;57,72;8,83;19,30;;4
2019;4;WMR;C022;C022;3;0;0;0;0;0;1;0;;yes;no;no;no;no;no;107;325;38,00;0,59;3,17;57,72;8,83;10,30;;3
2019;4;AZTI;C023eK;C023;2;0;0;1;0;0;0;0;;no;yes;yes;no;no;yes;107;287;36,00;0,62;3,45;57,72;8,83;9,90;;2
2019;4;IEO;C024eM;C024;3;0;0;0;0;0;1;0;A lot of atresia. More advanced oocytes are very early vitellogenic.;yes;no;no;no;no;no;107;207;32,00;0,63;2,90;57,72;8,83;6,00;;2
2019;4;IMR;C025eE;C025;4;1;0;1;0;0;0;0;;no;yes;yes;no;no;yes;107;326;37,00;0,64;6,38;57,72;8,83;20,80;;4
2019;4;WMR;C026;C026;4;3;0;0;0;0;1;0;;no;yes;yes;yes;no;no;107;289;34,00;0,73;13,59;57,72;8,83;39,20;;4
2019;4;AZTI;C027eK;C027;5;2;0;1;0;0;0;0;;no;yes;yes;no;yes;yes;107;311;35,00;0,73;12,89;57,72;8,83;40,10;;4
2019;4;IEO;C028eM;C028;3;0;0;0;0;0;1;0;;yes;no;no;no;no;no;107;296;35,00;0,69;4,77;57,72;8,83;14,10;;3
2019;4;IMR;C029eE;C029;3;0;1;0;0;0;0;0;;no;yes;yes;no;no;no;107;262;34,00;0,67;3,32;57,72;8,83;8,70;;2
2019;4;AZTI;C031eK;C031;4;0;0;0;0;0;0;0;;no;no;no;no;no;no;107;279;35,00;0,65;8,39;57,72;8,83;23,40;;3
2019;4;IEO;C032eM;C032;4;0;0;1;0;0;1;0;Abundant beta atresia.;no;yes;yes;yes;no;yes;107;338;38,00;0,62;3,66;57,72;8,83;12,40;;3
2019;4;IMR;C033eE;C033;4;0;0;0;0;0;0;0;;no;no;no;no;no;no;107;334;36,00;0,72;7,72;57,72;8,83;25,80;;3
2019;4;WMR;C034;C034;4;0;0;0;0;0;0;0;;no;no;no;no;no;no;107;230;32,00;0,70;7,76;57,72;8,83;17,80;;4
2019;4;AZTI;C035eK;C035;4;0;0;0;0;0;0;0;;no;no;no;no;no;no;107;323;36,00;0,69;8,89;57,72;8,83;28,70;;4
2019;4;IEO;C036eM;C036;5;1;0;1;0;0;1;0;Abundant atresia late alpha.;no;yes;yes;yes;no;yes;107;392;39,00;0,66;5,44;57,72;8,83;21,30;;4
2019;4;IMR;C037eE;C037;4;0;0;0;0;0;0;0;;no;no;no;no;no;no;107;185;32,00;0,56;4,48;57,72;8,83;8,30;;3
2019;5;WMR;C038;C038;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;147;371;34,70;0,89;11,00;57,86;11,32;40,80;R;4
2019;5;AZTI;C039eK;C039;5;3;0;1;0;0;0;0;;no;yes;yes;no;no;no;147;373;35,70;0,82;3,49;57,86;11,32;13,00;R;4
2019;5;IEO;C040eM;C040;2;0;2;0;0;1;0;0;;no;yes;no;no;no;no;147;414;37,80;0,77;1,33;57,86;11,32;5,50;R;5
2019;5;IMR;C041eE;C041;1;0;0;0;0;0;0;0;;no;no;no;no;no;no;147;397;36,70;0,80;1,03;57,86;11,32;4,10;R;6
2019;5;AZTI;C043eK;C043;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;148;471;37,50;0,89;9,72;58,75;7,24;45,80;R;4
2019;5;IEO;C044eM;C044;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;148;456;38,30;0,81;1,23;58,75;7,24;5,60;R;6
2019;5;IMR;C045eE;C045;3;0;0;0;0;0;0;0;;yes;no;no;no;no;no;148;488;38,30;0,87;7,87;58,75;7,24;38,40;R;4
2019;5;WMR;C046;C046;3;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;148;183;28,70;0,77;0,66;58,75;7,24;1,20;R;2
2019;5;AZTI;C047eK;C047;3;0;0;0;0;0;0;0;;yes;no;no;no;no;no;148;300;32,50;0,87;12,79;58,75;7,24;38,40;R;4
2019;5;IEO;C048eM;C048;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;148;289;33,40;0,78;6,85;58,75;7,24;19,80;R;4
2019;5;IMR;C049eE;C049;3;0;0;0;0;0;0;0;;yes;no;no;no;no;no;148;280;32,70;0,80;7,57;58,75;7,24;21,20;R;3
2019;5;WMR;C050;C050;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;148;242;31,70;0,76;8,16;58,75;7,24;19,70;R;3
2019;5;AZTI;C051eK;C051;2;0;0;0;0;0;0;0;;no;no;no;no;no;no;148;188;29,60;0,72;0,91;58,75;7,24;1,70;R;2
2019;5;IEO;C052eM;C052;2;0;0;0;0;1;1;0;;no;no;no;no;no;no;148;233;31,50;0,75;1,12;58,75;7,24;2,60;R;2
2019;5;IMR;C053eE;C053;1;0;0;0;0;0;0;0;;no;no;no;no;no;no;148;212;30,70;0,73;1,23;58,75;7,24;2,60;R;2
2019;5;WMR;C054;C054;2;0;0;0;0;0;0;0;;no;no;no;no;no;no;148;191;28,70;0,81;0,58;58,75;7,24;1,10;R;2
2019;5;AZTI;C055eK;C055;1;0;2;1;1;1;0;0;;no;yes;no;no;no;no;148;270;32,50;0,79;0,78;58,75;7,24;2,10;R;6
2019;5;IEO;C056eM;C056;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;148;241;32,80;0,68;7,71;58,75;7,24;18,60;R;3
2019;5;IMR;C057eE;C057;4;0;0;0;0;0;0;0;;no;no;no;no;no;no;148;210;30,40;0,75;3,57;58,75;7,24;7,50;R;2
2019;5;WMR;C058;C058;3;0;0;0;0;0;0;0;;yes;no;no;no;no;no;148;209;29,40;0,82;2,92;58,75;7,24;6,10;R;2
2019;5;AZTI;C059eK;C059;2;0;2;1;1;1;1;0;;no;yes;no;no;no;no;148;269;32,90;0,76;1,45;58,75;7,24;3,90;R;2
2019;7;IEO;C060eM;C060;4;0;0;1;0;0;1;0;A lot of alpha atresia. ;no;yes;yes;yes;no;no;184;316;33,70;0,83;2,02;54,28;10,68;6,40;R;5
2019;7;IMR;C061eE;C061;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;184;273;32,30;0,81;1,36;54,28;10,68;3,70;R;6
2019;7;WMR;C062;C062;3;0;0;1;0;0;1;0;"difficult sample; unclear if POF's are present";no;yes;yes;yes;no;no;184;296;32,70;0,85;1,22;54,28;10,68;3,60;R;6
2019;7;AZTI;C063eK;C063;5;1;1;1;0;0;0;0;;no;yes;yes;no;no;no;184;426;37,30;0,82;3,24;54,28;10,68;13,80;R;4
2019;7;IEO;C064eM;C064;1;0;0;0;1;1;1;0;;no;no;no;no;no;no;184;248;31,30;0,81;1,25;54,28;10,68;3,10;R;6
2019;7;IMR;C065eE;C065;1;0;0;1;0;0;1;0;Some Beta atresia;no;yes;yes;yes;no;no;184;395;37,60;0,74;1,37;54,28;10,68;5,40;R;6
2019;7;WMR;C066;C066;4;0;0;0;0;1;0;0;;no;no;no;no;no;no;184;328;33,80;0,85;1,83;54,28;10,68;6,00;R;5
2019;7;AZTI;C067eK;C067;1;0;0;0;1;1;1;0;All oocytes more advanced than CA, atretic;no;no;no;no;no;no;184;501;39,70;0,80;1,88;54,28;10,68;9,40;R;5
2019;7;IEO;C068eM;C068;5;3;0;1;0;0;1;0;;no;yes;yes;yes;no;no;184;263;32,10;0,79;2,17;54,28;10,68;5,70;R;4
2019;7;IMR;C069eE;C069;2;0;0;1;0;0;1;0;Beta atresia;no;yes;yes;yes;no;no;184;370;35,80;0,81;1,84;54,28;10,68;6,80;R;5
2019;7;WMR;C070;C070;1;0;0;1;1;0;0;0;;no;yes;no;no;no;no;184;412;36,30;0,86;1,39;54,28;10,68;5,70;R;6
2019;7;AZTI;C071eK;C071;2;0;2;1;1;1;1;0;;no;yes;no;no;no;no;184;313;34,60;0,76;2,97;54,28;10,68;9,30;R;5
2019;7;IEO;C072eM;C072;1;0;0;0;1;0;1;0;;no;no;no;no;no;no;184;412;35,90;0,89;1,19;54,28;10,68;4,90;R;6
2019;7;IMR;C073eE;C073;4;0;0;1;0;0;1;0;Lot of atresia;no;yes;yes;yes;no;no;184;319;34,30;0,79;4,07;54,28;10,68;13,00;R;5
2019;7;WMR;C074;C074;3;0;0;0;0;0;0;0;preparaat te slecht;yes;no;no;no;no;no;184;308;34,30;0,76;2,01;54,28;10,68;6,20;R;5
2019;7;AZTI;C075eK;C075;1;0;2;1;1;1;1;0;;no;yes;no;no;no;no;184;314;32,90;0,88;1,02;54,28;10,68;3,20;R;6
2019;7;IEO;C076eM;C076;4;0;0;0;1;1;1;0;;no;no;no;no;no;no;184;269;32,10;0,81;1,01;54,28;10,68;2,70;R;6
2019;7;IMR;C077eE;C077;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;184;415;37,30;0,80;1,71;54,28;10,68;7,10;R;5
2019;7;WMR;C078;C078;5;2;0;1;1;0;0;0;;no;yes;no;no;no;no;184;368;34,40;0,90;0,71;54,28;10,68;2,60;R;6
2019;7;AZTI;C079eK;C079;5;1;1;1;0;0;0;0;;no;yes;yes;no;no;no;184;310;33,30;0,84;4,85;54,28;10,68;15,00;R;5
2019;7;IEO;C080eM;C080;2;0;2;1;0;1;1;0;;no;yes;no;no;no;no;184;306;30,40;1,09;1,44;54,28;10,68;4,40;R;5
2019;7;IMR;C081eE;C081;4;0;0;1;0;0;0;0;Lot of atresia;no;yes;yes;no;no;no;184;259;31,40;0,84;2,08;54,28;10,68;5,40;R;5
2019;7;WMR;C082;C082;5;2;0;1;0;0;1;0;;no;yes;yes;yes;no;no;184;386;36,60;0,79;2,13;54,28;10,68;8,20;R;5
2019;7;AZTI;C083eK;C083;5;3;1;1;0;0;0;0;;no;yes;yes;no;no;no;184;334;35,10;0,77;5,28;54,28;10,68;17,60;R;4
2019;7;IEO;C084eM;C084;5;3;2;1;0;0;1;0;;no;yes;yes;yes;no;no;184;269;31,40;0,87;1,12;54,28;10,68;3,00;R;6
2019;7;IMR;C085eE;C085;2;0;0;1;1;0;1;0;corrected;no;yes;no;no;no;no;184;299;33,20;0,82;1,07;54,28;10,68;3,20;;6
2019;7;WMR;C086;C086;5;2;0;1;0;0;0;0;;no;yes;yes;no;no;no;184;299;32,20;0,90;3,77;54,28;10,68;11,30;R;4
2019;7;AZTI;C087eK;C087;5;3;1;1;0;0;0;0;;no;yes;yes;no;no;no;184;329;35,20;0,75;7,87;54,28;10,68;25,90;R;4
2019;7;IEO;C088eM;C088;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;184;384;34,20;0,96;0,78;54,28;10,68;3,00;R;6
2019;7;IMR;C089eE;C089;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;184;258;31,60;0,82;3,33;54,28;10,68;8,60;R;5
2019;7;WMR;C090;C090;5;2;0;1;0;0;0;0;;no;yes;yes;no;no;no;197;352;34,50;0,86;3,89;53,22;13,57;13,70;R;5
2019;7;AZTI;C091eK;C091;1;0;2;1;1;1;0;0;;no;yes;no;no;no;no;197;472;38,10;0,85;0,93;53,22;13,57;4,40;R;6
2019;7;IEO;C092eM;C092;2;0;0;1;0;1;1;0;;no;yes;no;no;no;no;197;452;37,70;0,84;2,63;53,22;13,57;11,90;R;5
2019;7;IMR;C093eE;C093;2;0;0;1;1;0;0;0;Beta atresia;no;yes;no;no;no;no;197;310;32,20;0,93;0,68;53,22;13,57;2,10;R;6
2019;7;WMR;C094;C094;1;0;0;1;1;0;0;0;;no;yes;no;no;no;no;197;300;31,50;0,96;0,57;53,22;13,57;1,70;R;6
2019;7;AZTI;C095eK;C095;4;0;0;1;1;1;1;0;;no;yes;no;no;no;no;197;333;32,20;1,00;0,75;53,22;13,57;2,50;R;6
2019;7;IEO;C096eM;C096;2;0;2;1;0;1;1;0;;no;yes;no;no;no;no;197;411;36,60;0,84;2,41;53,22;13,57;9,90;R;5
2019;7;IMR;C097eE;C097;1;0;0;0;0;0;0;0;;no;no;no;no;no;no;197;425;36,40;0,88;0,97;53,22;13,57;4,10;R;6
2019;7;WMR;C098;C098;4;0;0;1;1;1;0;0;;no;yes;no;no;no;no;197;335;33,40;0,90;1,05;53,22;13,57;3,50;R;6
2019;7;AZTI;C099eK;C099;3;0;0;1;1;1;1;0;;no;yes;no;no;no;no;197;389;35,70;0,86;2,75;53,22;13,57;10,70;R;4
2019;7;IEO;C100eM;C100;1;0;2;0;0;1;1;0;;no;yes;no;no;no;no;197;415;37,80;0,77;1,16;53,22;13,57;4,80;R;5
2019;7;IMR;C101eE;C101;1;0;0;0;0;0;0;0;;no;no;no;no;no;no;197;431;35,40;0,97;1,07;53,22;13,57;4,60;R;6
2019;7;WMR;C102;C102;4;0;0;1;0;0;1;0;;no;yes;yes;yes;no;no;197;469;38,20;0,84;1,30;53,22;13,57;6,10;R;6
2019;7;AZTI;C103eK;C103;2;0;0;1;1;1;1;0;All oocytes more advanced than CA, atretic;no;yes;no;no;no;no;197;423;37,30;0,82;2,34;53,22;13,57;9,90;R;5
2019;7;IEO;C104eM;C104;1;0;2;0;1;0;0;0;;no;yes;no;no;no;no;197;456;35,60;1,01;0,77;53,22;13,57;3,50;R;6
2019;7;IMR;C105eE;C105;1;0;0;1;1;0;0;0;Beta atresia;no;yes;no;no;no;no;197;396;34,90;0,93;0,93;53,22;13,57;3,70;R;6
2019;7;WMR;C106;C106;5;2;0;1;0;0;0;0;;no;yes;yes;no;no;no;197;431;36,70;0,87;1,55;53,22;13,57;6,70;R;5
2019;6;IMR;E001eE;E001;1;0;0;0;1;0;0;0;Har gytt, beta atresi, mange hvite huller;no;no;no;no;no;no;162;400;35,00;0,93;0,00;59,75;3,73;;R;6
2019;6;AZTI;E003ek;E003;1;0;0;1;1;0;0;0;Few old atresia;no;yes;no;no;no;no;162;420;36,50;0,86;0,00;59,75;3,73;;R;6
2019;6;IEO;E004eM;E004;1;0;2;0;1;0;0;0;;no;yes;no;no;no;no;162;410;36,00;0,88;0,00;59,75;3,73;;R;6
2019;6;IMR;E005eE;E005;4;0;0;0;0;0;1;0;;no;no;no;no;no;no;162;310;34,50;0,75;2,72;59,75;3,73;8,40;R;5
2019;6;WMR;E006;E006;3;0;0;0;0;0;1;0;fecundity sample do not exist;yes;no;no;no;no;no;162;290;32,50;0,84;1,47;59,75;3,73;4,30;R;5
2019;6;AZTI;E007ek;E007;2;0;0;1;1;0;0;0;Few old atresia;no;yes;no;no;no;no;162;475;38,00;0,87;1,23;59,75;3,73;5,80;R;6
2019;6;IEO;E008eM;E008;2;0;0;0;1;0;0;0;;no;no;no;no;no;no;162;310;32,50;0,90;0,78;59,75;3,73;2,40;R;6
